Time_ms,Green_lp,Red_lp,IR_lp,Off_lp,,,
712.036,1989.923166,3199.254048,2925.168016,1651.637072,,,
720.123,1990.168276,3199.88172,2925.64346,1651.615837,,,
728.21,1990.439339,3200.552711,2926.167145,1651.611923,,,
736.297,1990.726882,3201.24315,2926.720603,1651.62659,,,
744.384,1991.025737,3201.937205,2927.291916,1651.661515,,,
752.104,1991.315914,3202.586248,2927.839329,1651.713398,,,
760.191,1991.619541,3203.240911,2928.401308,1651.781904,,,
768.278,1991.917232,3203.852936,2928.9336,1651.860961,,,
776.365,1992.20512,3204.418085,2929.42554,1651.942018,,,
784.085,1992.467251,3204.907445,2929.846004,1652.014291,,,
792.172,1992.724935,3205.363221,2930.22354,1652.075578,,,
800.259,1992.964705,3205.766068,2930.53653,1652.116143,,,
808.346,1993.182444,3206.112224,2930.7735,1652.125591,,,
816.066,1993.371162,3206.400221,2930.937672,1652.103811,,,
824.153,1993.547547,3206.661102,2931.046018,1652.044046,,,
832.24,1993.702095,3206.887382,2931.097631,1651.94455,,,
840.327,1993.837348,3207.088727,2931.108217,1651.809522,,,
848.414,1993.952285,3207.269777,2931.088815,1651.637918,,,
856.104,1994.046208,3207.430833,2931.061019,1651.448925,,,
864.191,1994.129989,3207.592583,2931.037767,1651.227908,,,
872.278,1994.200535,3207.750089,2931.040029,1650.991921,,,
880.365,1994.261299,3207.905362,2931.080919,1650.750042,,,
888.085,1994.311768,3208.051458,2931.175436,1650.52189,,,
896.172,1994.360475,3208.201369,2931.337586,1650.294084,,,
904.259,1994.407613,3208.345908,2931.57512,1650.086163,,,
912.346,1994.456699,3208.481962,2931.895525,1649.907341,,,
920.066,1994.507873,3208.602624,2932.271399,1649.76645,,,
928.153,1994.570374,3208.715571,2932.748354,1649.661418,,,
936.24,1994.644002,3208.815861,2933.29336,1649.597978,,,
944.327,1994.73218,3208.903738,2933.901821,1649.580026,,,
952.414,1994.838786,3208.981822,2934.565034,1649.609724,,,
960.104,1994.95759,3209.051919,2935.231756,1649.675988,,,
968.191,1995.106633,3209.12781,2935.965016,1649.788771,,,
976.278,1995.279333,3209.214135,2936.716023,1649.934801,,,
984.365,1995.478234,3209.320356,2937.476284,1650.109018,,,
992.085,1995.695047,3209.451964,2938.202378,1650.294361,,,
1000.172,1995.948021,3209.627196,2938.957458,1650.498124,,,
1008.259,1996.231748,3209.857261,2939.700696,1650.702106,,,
