3,12980591,12985901,7,1822,10,262,257,262,262,262,264,253,nan,nan,nan,12981293,12981964,12982635,12983307,12983978,12984650,12985321,nan,nan,nan,
0,12991241,12996674,6,1559,10,257,256,256,262,263,265,nan,nan,nan,nan,12992645,12993378,12994080,12994751,12995422,12996094,nan,nan,nan,nan,
1,12996674,13001984,7,1867,10,266,261,270,268,272,268,262,nan,nan,nan,12997375,12998047,12998718,12999390,13000061,13000732,13001404,nan,nan,nan,
2,13001984,13007294,7,1823,10,262,265,257,256,262,261,260,nan,nan,nan,13002686,13003357,13004028,13004700,13005371,13006042,13006714,nan,nan,nan,
3,13007294,13012604,7,1742,10,247,248,254,246,248,251,248,nan,nan,nan,13007996,13008667,13009338,13010010,13010681,13011353,13012024,nan,nan,nan,
0,13017944,13023346,6,1517,10,251,257,252,257,254,246,nan,nan,nan,nan,13019104,13020081,13020752,13021423,13022095,13022766,nan,nan,nan,nan,
1,13023346,13028656,7,1825,10,260,260,262,261,265,254,263,nan,nan,nan,13024048,13024719,13025391,13026062,13026733,13027405,13028076,nan,nan,nan,
2,13028656,13033966,7,1839,10,262,260,265,260,262,266,264,nan,nan,nan,13029358,13030029,13030701,13031372,13032043,13032715,13033386,nan,nan,nan,
3,13033966,13039276,7,1758,10,246,247,254,246,254,254,257,nan,nan,nan,13034668,13035339,13036011,13036682,13037354,13038025,13038696,nan,nan,nan,
0,13044617,13050018,6,1535,10,254,258,251,254,259,259,nan,nan,nan,nan,13045776,13046722,13047424,13048096,13048767,13049438,nan,nan,nan,nan,
1,13050018,13055328,7,1802,10,260,262,256,257,254,252,261,nan,nan,nan,13050720,13051392,13052063,13052734,13053406,13054077,13054749,nan,nan,nan,
2,13055328,13060638,7,1818,10,264,263,255,265,260,256,255,nan,nan,nan,13056030,13056702,13057373,13058044,13058716,13059387,13060059,nan,nan,nan,
3,13060638,13065948,7,1757,10,245,246,249,252,251,254,260,nan,nan,nan,13061340,13062012,13062683,13063354,13064026,13064697,13065369,nan,nan,nan,
0,13071289,13076691,6,1511,10,250,252,246,252,254,257,nan,nan,nan,nan,13072449,13073395,13074097,13074768,13075439,13076111,nan,nan,nan,nan,
1,13076691,13082001,7,1829,10,262,260,260,262,265,263,257,nan,nan,nan,13077393,13078064,13078735,13079407,13080078,13080750,13081421,nan,nan,nan,
2,13082001,13087311,7,1811,10,254,261,254,257,262,260,263,nan,nan,nan,13082703,13083374,13084045,13084717,13085388,13086060,13086731,nan,nan,nan,
3,13087311,13092621,7,1722,10,247,247,250,245,241,245,247,nan,nan,nan,13088013,13088684,13089355,13090027,13090698,13091370,13092041,nan,nan,nan,
0,13097961,13103363,6,1495,10,251,251,251,249,250,243,nan,nan,nan,nan,13099121,13100067,13100769,13101440,13102112,13102783,nan,nan,nan,nan,
1,13103363,13108673,7,1792,10,264,257,254,263,253,250,251,nan,nan,nan,13104065,13104736,13105408,13106079,13106750,13107422,13108093,nan,nan,nan,
2,13108673,13113983,7,1800,10,254,256,262,264,259,253,252,nan,nan,nan,13109375,13110046,13110718,13111389,13112061,13112732,13113403,nan,nan,nan,
3,13113983,13119293,7,1736,10,244,251,243,242,254,251,251,nan,nan,nan,13114685,13115356,13116028,13116699,13117371,13118042,13118713,nan,nan,nan,
0,13124634,13130096,6,1504,10,251,249,251,249,248,256,nan,nan,nan,nan,13126007,13126801,13127502,13128174,13128845,13129517,nan,nan,nan,nan,
1,13130096,13135406,7,1781,10,255,250,260,262,253,251,250,nan,nan,nan,13130798,13131470,13132141,13132813,13133484,13134155,13134827,nan,nan,nan,
2,13135406,13140717,7,1823,10,261,260,262,263,265,250,262,nan,nan,nan,13136108,13136780,13137451,13138123,13138794,13139465,13140137,nan,nan,nan,
3,13140717,13146027,7,1756,10,249,243,250,250,256,254,254,nan,nan,nan,13141418,13142090,13142761,13143433,13144104,13144775,13145447,nan,nan,nan,
0,13151367,13156799,6,1510,10,246,253,251,252,257,251,nan,nan,nan,nan,13152527,13153503,13154205,13154877,13155548,13156219,nan,nan,nan,nan,
1,13156799,13162109,7,1782,10,254,251,257,257,251,254,258,nan,nan,nan,13157501,13158173,13158844,13159515,13160187,13160858,13161530,nan,nan,nan,
