370,65236,143350,161022,65330
20233,1366,1339,1307,1369,65236,143350,161022,65330
19866,1363,1333,1300,1368,65236,143350,161022,65330
19866,1362,1344,1305,1375,65236,143350,161022,65330
20233,1366,1337,1314,1372,65236,143350,161022,65330
42,1310,1369,65236,143350,161022,65330
19866,1364,1339,1319,1368,65236,143350,161022,65330
20233,1369,1341,1324,1371,65236,143350,161022,65330
19866,1366,1355,1325,1375,65236,143350,161022,65330
19866,1366,1344,1335,1368,65236,143350,161022,65330
20233,1365,1352,1331,1371,65236,143350,161022,65330
19866,1363,1355,1339,1373,65236,143350,161022,65330
20233,1369,1349,1341,1371,65236,143350,161022,65330
19866,1365,1359,1341,1371,65236,143350,161022,65330
19866,1364,1359,1348,1375,65236,143350,161022,65330
20233,1366,1362,1343,1371,65236,143350,161022,65330
19866,1366,1370,1358,1369,65236,143350,161022,65330
19866,1366,1363,119500,2475,760,340,2479,62980,84365,131835,62980
20477,2479,758,310,2477,62980,84365,131835,62980
20324,2478,743,257,2477,62980,84365,131835,62980
19683,2476,727,161,2471,62980,84365,131835,62980
20324,2476,691,81,2475,62980,84365,131835,62980
19683,2475,672,64,2477,62980,84365,131835,62980
20050,2477,683,40,2477,62980,84365,131835,62980
20050,2475,709,46,2478,62980,84365,131835,62980
20050,2476,723,46,2477,62980,84365,131835,62980
20050,2477,738,95,2477,62980,84365,131835,62980
20050,2477,741,137,2478,62980,84365,131835,62980
20050,2477,738,214,2477,62980,84365,131835,62980
20050,2472,726,276,2477,62980,84365,131835,62980
19683,2475,738,340,2475,62980,84365,131835,62980
20050,2476,725,347,2479,62980,84365,131835,62980
20050,2474,709,329,2481,62980,84365,131835,62980
20050,2475,679,292,2475,62980,84365,131835,62980
20050,2470,662,264,2478,62980,84365,131835,62980
20050,2478,659,250,2477,62980,84365,131835,62980
20050,2480,673,283,2479,62980,84365,131835,62980
19683,2478,676,318,2478,62980,84365,131835,62980
20050,2473,690,334,2482,62980,84365,131835,62980
20050,2475,689,340,2476,62980,84365,131835,62980
20050,2479,688,317,2479,62980,84365,131835,62980
20050,2474,679,307,2477,62980,84365,131835,62980
20050,2476,672,309,2480,62980,84365,131835,62980
20050,2475,678,305,2477,62980,84365,131835,62980
